Number,Category,Verb,VerbShort,VerbC,VerbYou,VerbI,Positive Impact,Source of Positive Impact,Negative Impact,Prerequisite,Exclusion,Formulation,Behavior Goal
1,Smoking,thinking about the person you would like to be once you have quit smoking,thinking about your desired future self,Thinking about the person you would like to be once you have quit smoking,think about the person you would like to be once you have quit smoking,think about the person I would like to be once I have quit smoking,increase your ASPIRATION to move away from smoking,"Paper by Eline: ""strengthening ideal and future selves among smokers who want to quit""",may lead to INSUFFICIENT aspiration to move away from smoking,,"17,21","Between this and the next session, please think about the person that you would like to be once you have quit smoking successfully. For example, you might want to be a ""grandfather who can play football with his grandchildren"" or a ""nurse who can walk up the stairs to the fourth floor without getting out of breath."" Write down everything that comes to your mind.",quit smoking
2,Smoking,identifying reasons why you want to stop smoking,identifying reasons why you want to stop smoking,Identifying reasons why you want to stop smoking,identify reasons why you want to stop smoking,identify reasons why I want to stop smoking,increase your ASPIRATION to stop smoking,Paper by Michie on StopAdvisor,may lead to a LACK of aspiration to stop smoking,,,"Between this and the next session, please identify and write down reasons why you want to stop smoking. After writing them down, think about which reasons are most important to you and order them accordingly.",quit smoking
3,Smoking,thinking about who you do NOT want to be but might become if you continue to smoke,thinking about your feared future self,Thinking about who you do NOT want to be but might become if you continue to smoke,think about who you do NOT want to be but might become if you continue to smoke,think about who I do NOT want to be but might become if I continue to smoke,feel more MOTIVATED to quit smoking successfully,"Paper by Eline: ""strengthening ideal and future selves among smokers who want to quit""",may lead to INSUFFICIENT motivation to quit smoking successfully,,"4,19,18","Between this and the next session, please think about who you do NOT want to be in the future but might become if you continue to smoke. For example, you might NOT want to be a ""mother who dies early of coronary heart disease like her mother did"" or a ""husband who is frowned upon by his wife"" or a ""man who is dependent on a substance."" Write down everything that comes to your mind. ",quit smoking
4,Smoking,thinking about who you do NOT want to be but might become if you continue to smoke,thinking about your feared future self,Thinking about who you do NOT want to be but might become if you continue to smoke,think about who you do NOT want to be but might become if you continue to smoke,think about who I do NOT want to be but might become if I continue to smoke,feel more MOTIVATED to quit smoking successfully,"Paper by Eline: ""strengthening ideal and future selves among smokers who want to quit""",may lead to INSUFFICIENT motivation to quit smoking successfully,,"3,19,18","Between this and the next session, please think about who you do NOT want to be in the future but might become if you continue to smoke. For example, you might NOT want to be a ""mother who dies early of coronary heart disease like her mother did"" or a ""husband who is frowned upon by his wife"" or a ""man who is dependent on a substance."" Then, look for or take a picture that best captures your feared future self. Save this picture.",quit smoking
5,Smoking,visualizing smoking as a battle that you win,visualizing smoking as a battle that you win,Visualizing smoking as a battle that you win,visualize smoking as a battle that you win,visualize smoking as a battle that I win,FOCUS on your goal of successfully quitting smoking,Paper by Michie on StopAdvisor,may cause you to LOOSE SIGHT of your goal of successfully quitting smoking,,,"Between this and the next session, please take some time to visualize smoking as a battle. For example, you might see yourself and a cigarette as two boxers in a fighting match. Then imagine yourself winning this battle. Visualize clearly how you win and what it feels like to be the winner. Write down a few words about your winning experience.",quit smoking
6,Smoking,thinking about how to change routines that often lead to cravings,thinking about how to change routines that often lead to cravings,Thinking about how to change routines that often lead to cravings,think about how to change routines that often lead to cravings,think about how to change routines that often lead to cravings,get FEWER cravings,Paper by Michie on StopAdvisor,may make it HARDER to resist cravings,"12,",,"Between this and the next session, please think about routines in your daily life that often cause you to get cravings. For example, you might have experienced that if you go to bed very late and thus sleep less, you smoke more the next day. Or maybe you have noticed that if you skip your breakfast, you always smoke on your way to work but NOT otherwise. How could you change these routines to reduce or even avoid those cravings? Please write down everything that comes to your mind. Which change do you want to focus on first? Highlight this change.",quit smoking
7,Smoking,thinking of ways to deal with situations in which you might find it difficult to refrain from smoking,thinking of ways to deal with situations in which refraining is difficult,Thinking of ways to deal with situations in which you might find it difficult to refrain from smoking,think of ways to deal with situations in which you might find it difficult to refrain from smoking,think of ways to deal with situations in which I might find it difficult to refrain from smoking,get FEWER cravings,Paper by Michie on StopAdvisor,may cause you to SMOKE in those difficult situations,"12,",,"Between this and the next session, please think about situations in which you might find it difficult to refrain from smoking. For example, this could be during your lunch break at work, when you meet your best friend, or when you watch TV. How could you deal with these situations so that you do NOT smoke? Write down your plans in a few words.",quit smoking
8,Smoking,thinking of activities to keep yourself busy when you feel the urge to smoke,thinking of activities to keep yourself busy when you feel the urge to smoke,Thinking of activities to keep yourself busy when you feel the urge to smoke,think of activities to keep yourself busy when you feel the urge to smoke,think of activities to keep myself busy when I feel the urge to smoke,RESIST cravings,Paper by Michie on StopAdvisor,may mean that you SMOKE when you feel such an urge,,,"Between this and the next session, please think of activities that you could do to keep yourself busy when you feel the urge to smoke so that you do NOT smoke. These urges typically last a few minutes; think of something that you could do in the meantime until the urge has passed. For example, you could water your plants, eat a carrot, do 10 push-ups, or do something for another person in need. Write down everything that comes to your mind.",quit smoking
9,Smoking,learning how to tense and relax areas of your body,learning how to tense and relax areas of your body,Learning how to tense and relax areas of your body,learn how to tense and relax areas of your body,learn how to tense and relax areas of my body,RESIST cravings,Paper by Michie on StopAdvisor,may make it DIFFICULT to refrain when you have a craving,,"11,","Tensing and relaxing areas of the body can reduce cravings and withdrawal symptoms, because it is very difficult to feel tense or uptight in a relaxed body. Between this and the next session, please use the following 15-minute video to learn progressive muscle relaxation (which is a way of relaxing your body): https://www.youtube.com/watch?v=ihO02wUzgkc&ab_channel=MarkConnelly. Even if you have already heard of it, it might be a good idea to refresh your memory.",quit smoking
10,Smoking,creating a personal rule,creating a personal rule,Creating a personal rule,create a personal rule,create a personal rule,generate strong DETERMINATION to refrain from smoking,Paper by Michie on StopAdvisor,may lead to INSUFFICIENT determination to refrain from smoking,,"24,","Between this and the next session, please take some time to think of a personal rule that helps you to refrain from smoking. Possible examples include ""Not a puff - no matter what,” ""Say no to smoking, yes to life"" or ""Smoking is NOT an option."" Write down your rule on a piece of paper and repeat it to yourself 3 times. Put the piece of paper with your rule somewhere you can see it every day.",quit smoking
